"Jeong, Soyeong, et al. ""Adaptive-rag: Learning to adapt retrieval-augmented large language models through question complexity."" arXiv preprint arXiv:2403.14403 (2024)."
"Peng, Baolin, et al. ""Check your facts and try again: Improving large language models with external knowledge and automated feedback."" arXiv preprint arXiv:2302.12813 (2023)."
"Patil, Shishir G., et al. ""Gorilla: Large language model connected with massive apis."" Advances in Neural Information Processing Systems 37 (2024): 126544-126565."
"Siriwardhana, Shamane, et al. ""Improving the domain adaptation of retrieval augmented generation (RAG) models for open domain question answering."" Transactions of the Association for Computational Linguistics 11 (2023): 1-17."
"Ram, Ori, et al. ""In-context retrieval-augmented language models."" Transactions of the Association for Computational Linguistics 11 (2023): 1316-1331."
"Pastor, Eliana. ""Pattern-based algorithms for Explainable AI."" (2021)."
"Luo, Linhao, et al. ""Reasoning on graphs: Faithful and interpretable large language model reasoning."" arXiv preprint arXiv:2310.01061 (2023)."
"Zhang, Tianjun, et al. ""Raft: Adapting language model to domain specific rag."" arXiv preprint arXiv:2403.10131 (2024)."
"Jin, Chao, et al. ""Ragcache: Efficient knowledge caching for retrieval-augmented generation."" ACM Transactions on Computer Systems 44.1 (2025): 1-27."
"Yu, Yue, et al. ""Rankrag: Unifying context ranking with retrieval-augmented generation in llms."" Advances in Neural Information Processing Systems 37 (2024): 121156-121184."
"Lewis, Patrick, et al. ""Retrieval-augmented generation for knowledge-intensive nlp tasks."" Advances in neural information processing systems 33 (2020): 9459-9474."
"Joren, Hailey, et al. ""Sufficient context: A new lens on retrieval augmented generation systems."" arXiv preprint arXiv:2411.06037 (2024)."
"Sun, Jiashuo, et al. ""Think-on-graph: Deep and responsible reasoning of large language model on knowledge graph."" arXiv preprint arXiv:2307.07697 (2023)."
"Gou, Zhibin, et al. ""Tora: A tool-integrated reasoning agent for mathematical problem solving."" arXiv preprint arXiv:2309.17452 (2023)."
"Schulhoff, Sander, et al. ""The prompt report: a systematic survey of prompt engineering techniques."" arXiv preprint arXiv:2406.06608 (2024)."
"Qin, Yujia, et al. ""Tool learning with foundation models."" ACM Computing Surveys 57.4 (2024): 1-40."
"Qu, Changle, et al. ""Tool learning with large language models: A survey."" Frontiers of Computer Science 19.8 (2025): 198343."
"Zhuang, Yuchen, et al. ""Toolqa: A dataset for llm question answering with external tools."" Advances in Neural Information Processing Systems 36 (2023): 50117-50143."
"Xie, Jian, et al. ""Travelplanner: A benchmark for real-world planning with language agents."" arXiv preprint arXiv:2402.01622 (2024)."
"Nakano, Reiichiro, et al. ""Webgpt: Browser-assisted question-answering with human feedback."" arXiv preprint arXiv:2112.09332 (2021)."
"Chen, Jin, et al. ""When large language models meet personalization: Perspectives of challenges and opportunities."" World Wide Web 27.4 (2024): 42."
"Liu, Yue, et al. ""Agent design pattern catalogue: A collection of architectural patterns for foundation model based agents."" Journal of Systems and Software 220 (2025): 112278."
"Humanloop. “RAG Architectures.” Humanloop Blog, https://humanloop.com/blog/rag-architectures. Accessed 25 Jan. 2026."
"Heiland, Lukas, Marius Hauser, and Justus Bogner. ""Design patterns for ai-based systems: A multivocal literature review and pattern repository."" arXiv preprint arXiv:2303.13173 (2023)."
"Singh, Aditi, et al. ""Agentic retrieval-augmented generation: A survey on agentic rag."" arXiv preprint arXiv:2501.09136 (2025)."
"Yao, Shunyu, et al. ""React: Synergizing reasoning and acting in language models."" The eleventh international conference on learning representations. 2022."
"Aridor, Yariv, and Danny B. Lange. ""Agent design patterns: Elements of agent application design."" Proceedings of the second international conference on Autonomous agents. 1998."
"Databricks. “Agent System Design Patterns.” Databricks Documentation, https://docs.databricks.com/aws/en/generative-ai/guide/agent-system-design-patterns. Accessed 25 Jan. 2026."
"Anil Jain, Agentic AI Architectures And Design Patterns, https://medium.com/@anil.jain.baba/agentic-ai-architectures-and-design-patterns-288ac589179a"
"Agentic Design Patterns , outline https://docs.google.com/document/d/1rsaK53T3Lg5KoGwvf8ukOUvbELRtH-V0LnOIFDxBryE/edit?tab=t.0 "
"IEEE Computer Society. “AI Design Patterns.” IEEE Computer Society Tech News, https://www.computer.org/publications/tech-news/trends/ai-design-patterns. Accessed 25 Jan. 2026."
"Carta, Thomas, et al. ""Grounding large language models in interactive environments with online reinforcement learning."" International Conference on Machine Learning. PMLR, 2023."
"Fowler, Martin. “Generative AI Patterns.” Martin Fowler, https://martinfowler.com/articles/gen-ai-patterns/. Accessed 25 Jan. 2026."
"Juziuk, Joanna, Danny Weyns, and Tom Holvoet. ""Design patterns for multi-agent systems: A systematic literature review."" Agent-Oriented Software Engineering. Springer, Berlin, Heidelberg, 2014."
"Neo4j. “GraphRAG Field Guide: RAG Patterns.” Neo4j Blog, https://neo4j.com/blog/developer/graphrag-field-guide-rag-patterns/. Accessed 25 Jan. 2026."
"Washizaki, Hironori, et al. ""Machine learning architecture and design patterns."" IEEE Software 8 (2020): 2020."
"“YouTube Video.” YouTube, https://www.youtube.com/watch?v=IbHr8WQlovE. Accessed 25 Jan. 2026."
"Lakshmanan, Valliappa, Sara Robinson, and Michael Munn. Machine learning design patterns. O'Reilly Media, 2020."
"“Multimodal RAG Patterns.” Vectorize Blog, https://vectorize.io/blog/multimodal-rag-patterns. Accessed 25 Jan. 2026."
"“Issue 242.” The Batch (DeepLearning.AI), https://www.deeplearning.ai/the-batch/issue-242/. Accessed 25 Jan. 2026."
"“Responsible AI Pattern Catalogue.” CSIRO Software & Systems Science, https://research.csiro.au/ss/science/projects/responsible-ai-pattern-catalogue/. Accessed 25 Jan. 2026."
"“Machine Learning Pattern List.” AWS Prescriptive Guidance, https://docs.aws.amazon.com/prescriptive-guidance/latest/patterns/machinelearning-pattern-list.html. Accessed 25 Jan. 2026."
"“YouTube Video.” YouTube, https://www.youtube.com/watch?v=eUY9i1CWmUg. Accessed 25 Jan. 2026."
"Washizaki, Hironori, et al. ""Software-engineering design patterns for machine learning applications."" Computer 55.3 (2022): 30-39."
"Nalchigar, Soroosh, et al. ""Solution patterns for machine learning."" International Conference on Advanced Information Systems Engineering. Cham: Springer International Publishing, 2019."
"Song, Chan Hee, et al. ""Llm-planner: Few-shot grounded planning for embodied agents with large language models."" Proceedings of the IEEE/CVF international conference on computer vision. 2023."
